ID	ctl1	ctl2	exp1	exp2
ADAP2	9.023362	8.928329	9.04149	8.4208
ADAR	10.73643128	10.62499326	11.5331	11.4323
ADARB1	7.570942869	7.524303711	8.59919	9.53081
ADARB2	3.829713	3.789647	5.2896	5.45551
ADAT1	6.290689	6.512189	8.66693	8.18238
ADAT2	5.883628	5.680529	6.50176	7.21158
ADAT3	5.086922113	5.26901646	7.28202	7.31235
ADCK1	6.547731	6.616191	8.28786	8.03304
ADCK2	6.698552	6.852709	8.13243	7.77474
ADCK3	7.675336	7.681479	9.20407	9.21296
ADCK4	4.218318	4.058047	4.9649	4.85266
ADCK5	5.422064	5.491385	7.2936	6.97314
ADCY1	4.345749	4.085058	5.43652	6.15143
ADCY10	3.281541	3.312589	3.8438	4.07576
ADCY10P1	4.282835	4.414032	5.92826	5.97829
ADCY2	5.035493	4.649382	6.01818	5.94995
ADCY3	6.542778	6.392755	7.34546	7.72501
ADCY4	7.832665	7.767149	8.13062	8.66929
ADCY5	4.480273	4.240993	5.48585	5.92306
ADCY6	6.084965	5.819349	8.25091	8.95783
ADCY7	6.093919265	5.829593713	7.3231	7.29602
ADCY8	4.224781	4.060446	5.48643	5.58719
ADCY9	6.824805742	6.823157588	8.81409	9.19686
ADCYAP1	4.208166	4.036114	5.63448	5.94315
ADCYAP1R1	3.721585	3.709885	4.95274	4.73816
ADD1	9.375841	9.220362	9.50456	9.45164
ADD2	5.078145829	4.867334041	4.95419	5.41056
ADD3	10.07410093	9.984916413	10.3963	10.8189
ADGB	2.689089	2.814293	3.8524	3.76006
ADH1A	4.144595	4.54702	5.41709	5.60269
ADH1B	10.47277	10.50766	8.98667	11.5771
ADH1C	5.096461	4.440963	5.64914	5.75301
ADH4	6.634354	6.671227	7.7478	7.64974
ADH5	9.989373	9.926089	10.385	10.581
ADH6	3.078644	2.961639	4.03768	4.02818
ADH7	3.564434	3.726727	5.01751	4.55214
ADHFE1	7.149237	6.830472	7.87889	8.25518
ADI1	10.02489	9.809717	9.83135	10.0627
