"GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fdr"
"388697",-0.489692248566028,2.27505063916885,-4.23662427716143,0.00107294828443957,0.00799506571126267,-0.57032128428376,1
"1155",-0.143673495079408,6.53901633042038,-4.23652342050004,0.00107314411217399,0.00799506571126267,-1.31354980800432,1
"1975",-0.118155410029035,9.63711048580317,-4.23620411137159,0.00107376434065242,0.00799615774102084,-1.63067413743419,1
"112268437",0.294601051402263,4.82719219280011,4.23446370070147,0.00107715145118384,0.00801784426758623,-0.98039698586812,1
"9887",0.143879034026942,6.68294642438688,4.2341970884302,0.0010776712954613,0.00801817840898087,-1.3330052664389,1
"246184",0.27496902195463,4.18832086977083,4.23385283419552,0.00107834291094821,0.00801964097913112,-0.84528556432365,1
"23462",0.251723686163514,4.16373124475441,4.23161484298157,0.00108271963982945,0.00804864507247943,-0.84519251292925,1
"29100",0.167776259449279,5.78563832826118,4.23076869996886,0.00108437918228573,0.00805743369513543,-1.18861004412886,1
"6423",-0.157983941771258,6.06457962538262,-4.22981971840859,0.00108624355218185,0.00806630619167728,-1.24945533211594,1
"323",0.200946989610494,5.85674982689528,4.22967464073731,0.00108652886387123,0.00806630619167728,-1.20311533146869,1
"63982",1.08134936272371,-0.382114329238259,4.22839425923159,0.00108905024185293,0.00808147084965327,-1.24589352427375,1
"79718",-0.217274584707534,5.18622823927537,-4.22659323360138,0.00109260713858431,0.00810430303760118,-1.08771951488049,1
"85463",0.181978832273037,5.98865302785488,4.2249201959163,0.00109592203131944,0.00812471885601466,-1.23644393582774,1
"3953",-0.200330569156325,4.95367864913036,-4.22471863797806,0.00109632209181385,0.00812471885601466,-1.04143955907288,1
"9274",-0.279972828555056,4.16754521828313,-4.22365960031506,0.00109842659599106,0.00813674321786799,-0.876688540002551,1
"11244",0.186600932786992,5.31421474595709,4.22338529832037,0.00109897236570718,0.0081372155604687,-1.1081412250451,1
"5027",-0.237661020180347,4.72955833330504,-4.22173990038674,0.00110225205107514,0.00815461386127749,-0.99949473614158,1
"8242",0.136168179594118,6.96169517348408,4.22172180955672,0.00110228816677143,0.00815461386127749,-1.39404051768417,1
"3791",0.568052126399711,1.84028030589017,4.22073711212726,0.00110425581813553,0.00816559208136836,-0.590990581592068,1
"1301",0.541677479345498,2.37489072240508,4.21967960332866,0.00110637300815308,0.00817766599108596,-0.595684933901157,1
"26993",0.211172846774896,5.6165377040955,4.2179148102642,0.00110991557092002,0.00820026024869665,-1.17811832888954,1
"54757",-0.148664044429934,6.2460874686827,-4.21647214530347,0.00111282022012604,0.00821678588370185,-1.30466466489381,1
"10263",0.15145671584584,6.66113771220176,4.21632061089555,0.00111312577396198,0.00821678588370185,-1.36272200784624,1
"79874",-0.261175080489462,4.13214561266391,-4.2160191988097,0.00111373379888611,0.00821705197143385,-0.882773029464738,1
"8318",0.792076180550395,0.771937784959408,4.2158202636693,0.00111413528981235,0.00821705197143385,-0.780677307480493,1
"55544",0.519608428239228,2.44316412418603,4.21334240627021,0.00111914865962427,0.00824931401712586,-0.610216140125754,1
"11200",-0.445499610939862,2.36964091618218,-4.21317562787892,0.00111948693361186,0.00824931401712586,-0.615675333074363,1
"11177",0.250135482264916,4.26840011396571,4.20881007952259,0.00112837920407479,0.00831121192111282,-0.908281304040253,1
"26289",-0.398367854446841,3.16759637215241,-4.2079153261832,0.00113021074308327,0.00831559396296594,-0.719705714180112,1
"3628",0.326904062792845,3.36949927078144,4.20781287805399,0.00113042064797842,0.00831559396296594,-0.736154270544086,1
"326625",-0.199084590419079,5.40079288454684,-4.20765831793866,0.00113073740083593,0.00831559396296594,-1.16605690146169,1
"55959",0.241018225949115,4.46624319691703,4.20755732558386,0.00113094442240077,0.00831559396296594,-0.952626729244678,1
"6854",-0.383884399134291,3.24005657361376,-4.20705278432058,0.00113197925518902,0.00831898176007307,-0.732635594860449,1
"54414",0.221509762583104,5.08260268116899,4.20680246661902,0.00113249302926875,0.00831898176007307,-1.08842736982721,1
"65996",-0.170315927836933,6.04693988047386,-4.20661230768635,0.00113288348930269,0.00831898176007307,-1.28951631024384,1
"25941",-0.149646797660194,6.48934581066207,-4.20611007370672,0.00113391541327675,0.00832162378587466,-1.36250640220783,1
"81533",-0.169985866842797,6.06230559080888,-4.20595747789095,0.00113422913939685,0.00832162378587466,-1.29343909164277,1
"2803",0.140713342459973,8.38337329782144,4.20544251583845,0.00113528852712383,0.00832453756497803,-1.57394612555152,1
"80124",0.191560920203507,5.45988191732051,4.20515937871943,0.00113587143681092,0.00832453756497803,-1.17122133390674,1
"171423",0.144482308795245,6.71213274600454,4.20504568620671,0.00113610558877558,0.00832453756497803,-1.39116264069456,1
"107984138",0.381624674100969,2.90435683627485,4.20464010470296,0.00113694129839644,0.00832688868307262,-0.671666324803653,1
"28991",-0.214205113295802,4.87111942616731,-4.20441134503993,0.0011374129429668,0.00832688868307262,-1.06110901616594,1
"57613",0.268644574903525,4.03890128149739,4.20297088053493,0.0011403874662345,0.00834504603596481,-0.871034774017081,1
"5825",-0.197119371370584,4.86719535624587,-4.20135164558109,0.00114374074697018,0.00836595809807218,-1.06556071353625,1
"1456",0.159663899056238,6.29004878820255,4.20074584413855,0.00114499792206252,0.00837152660037226,-1.33341662688691,1
"1340",-0.180782675943271,6.50342611654465,-4.20038215746394,0.00114575334022719,0.00837209665150876,-1.37577895437963,1
"105377439",1.84096448277719,-1.59884047805939,4.2002308730513,0.00114606772666963,0.00837209665150876,-2.01568691411477,1
"1499",-0.110875426265514,8.29441509047558,-4.19906495394573,0.00114849363427817,0.0083835052574474,-1.58160956182563,1
"55764",-0.338174586770527,3.3516453239227,-4.19900301644179,0.0011486226549269,0.0083835052574474,-0.765030394382885,1
"5540",-0.835709250622151,0.221900400675093,-4.19872242637263,0.00114920733358755,0.00838414788488552,-0.89325031533686,1
"55853",-0.394508669353638,2.99361585525342,-4.19699732640957,0.00115280877046297,0.00840678948723795,-0.712295224647514,1
"90441",0.160040892048094,6.07824726050993,4.19594536564322,0.00115501063910378,0.00841920967588512,-1.30639378544844,1
"260436",-0.898741084457547,1.10714429341789,-4.19474847145263,0.00115752115584008,0.00843386799865869,-0.684508218832382,1
"25870",-0.135416130930216,6.95467905195486,-4.19377815760507,0.00115956055313729,0.00844508250994986,-1.44999963037757,1
"7529",-0.116885877294377,8.828970594179,-4.19330232495589,0.00116056201071245,0.00844822264557785,-1.64161835022083,1
"3033",-0.181007580152229,5.82723937191754,-4.19309788020591,0.00116099256828223,0.00844822264557785,-1.27524465989261,1
"57529",0.367454177374641,3.12611082189075,4.19192803276868,0.00116345942602802,0.00846252564851573,-0.724228677011368,1
"107985942",1.39631119521692,-0.643472648902069,4.19160048723384,0.00116415109157263,0.00846287145151754,-1.4588460782484,1
"118812",0.226696162461977,5.34112070479871,4.19143081011211,0.001164509559405,0.00846287145151754,-1.17089552430701,1
"2098",-0.145144307871352,6.85848121276077,-4.19040345836616,0.00116668242827999,0.00847394243826675,-1.44396974835731,1
"728689",-0.116039525951588,8.45724678533593,-4.19023607031419,0.00116703685398473,0.00847394243826675,-1.61341954010858,1
"80339",-0.436727712946239,3.33791691958348,-4.18990513071872,0.00116773790948869,0.00847538752707996,-0.780090642974914,1
"27336",-0.167551166481445,5.65432351715706,-4.1880744498874,0.00117162385505285,0.00849993722432415,-1.25169712066652,1
"9693",0.155104355713113,7.05505697589677,4.18714148437171,0.00117360937796024,0.00851068450117043,-1.46951659550486,1
"653319",-0.390728157899781,3.3013066149952,-4.18505255042852,0.00117806763264311,0.00853934640372732,-0.781944230467497,1
"832",-0.123108893355843,7.474213039073,-4.18354133656582,0.00118130380895423,0.00855363617262476,-1.52884773383373,1
"1643",-0.246100279278426,4.78584892754349,-4.18343728535181,0.00118152696626804,0.00855363617262476,-1.08172814982428,1
"23034",0.237908424818255,4.91328037864262,4.18327571278846,0.00118187357522106,0.00855363617262476,-1.09482119241604,1
"30813",-1.66762458446078,-1.60095062266518,-4.18318617327177,0.00118206570256685,0.00855363617262476,-1.7051383291929,1
"197131",0.2115571657125,5.18648968554865,4.18168732010443,0.00118528662770885,0.00857235495213293,-1.15735875668001,1
"64319",0.134142692637612,7.026795824641,4.181510082667,0.00118566809698083,0.00857235495213293,-1.47696424362458,1
"100526836",0.146637474521322,6.4000333161734,4.17857791820785,0.00119199745345339,0.00861442680188363,-1.39270765576503,1
"7011",-0.258336315887367,4.10221559967064,-4.17687702608947,0.00119568497861766,0.00863737860891031,-0.947405468886537,1
"10234",0.72249531767056,1.11778356883919,4.17655287520629,0.00119638907197554,0.00863876831184394,-0.749087979375207,1
"10411",0.288710574332714,3.93902836233636,4.17486490914746,0.00120006245901514,0.00866158804322086,-0.900724719541046,1
"56474",-0.336269917914317,3.17656952446377,-4.17396194774804,0.00120203228408054,0.00866982789651118,-0.780001711459675,1
"10855",0.256331010036558,4.10476820373954,4.1738708506682,0.00120223119924966,0.00866982789651118,-0.937251959699503,1
"154664",-0.504742423495727,2.06758287268851,-4.17298663515561,0.00120416369711894,0.00868005616343382,-0.667445490951031,1
"3918",-0.599045584292543,1.98523234199698,-4.17120191808608,0.00120807406788143,0.00870452685188832,-0.668370756755398,1
"9833",-0.355626179924397,3.5818726227334,-4.17039321914019,0.00120985026870226,0.00871360590282916,-0.857554084645081,1
"23233",0.136054224003346,6.8089109544486,4.16662745104033,0.00121815687891208,0.00876307765084472,-1.47610235638161,1
"63905",0.174129231969535,6.21604624739915,4.16662606353491,0.00121815995033305,0.00876307765084472,-1.38381809347436,1
"4928",0.143993292125135,6.5465884147547,4.16657343199656,0.0012182764628914,0.00876307765084472,-1.43806707311223,1
"26019",0.1607955929139,5.86430788847157,4.16570397451133,0.0012202028825156,0.00877319636398141,-1.32378480536725,1
"57507",-0.429263103724701,2.30177571862793,-4.16485493771805,0.00122208709329399,0.00878300311153222,-0.692538840530788,1
"5128",0.302129754172592,4.50753908171111,4.1639544875167,0.00122408868626462,0.00879364476660399,-1.03831672070198,1
"23093",-0.183733458551626,5.68762973874747,-4.1637086465643,0.0012246357494488,0.00879383271892585,-1.3034905357094,1
"23157",0.764958429657645,0.879200399496448,4.16287201475893,0.00122649937608356,0.00880347043666776,-0.824159925615445,1
"100129792",0.387436892434255,2.97468059607605,4.16246782840941,0.00122740076442942,0.00880619621976093,-0.753572998469202,1
"9700",0.367917793077927,2.9273574357023,4.16142594492425,0.00122972745691163,0.00881914143057862,-0.749806740938763,1
"8648",0.178918040896802,5.93734154569335,4.15938799183808,0.00123429171018075,0.00884811577548683,-1.34834369389795,1
"150165",0.713485597710406,1.75002813667242,4.15913395706054,0.00123486187820788,0.00884844576736226,-0.695399722893206,1
"727800",0.511334442842658,2.02174223669898,4.15869288824296,0.0012358524807454,0.00885178683917853,-0.687630167290572,1
"81790",-0.183647701359011,5.60558459358435,-4.1582691418083,0.00123680495165559,0.00885485207542397,-1.29760293956992,1
"55152",-0.188358598108108,5.31070000530855,-4.15623235540738,0.0012413937037581,0.00888393747640707,-1.24212536729616,1
"84172",0.208880114051265,4.90026051502084,4.15496463055697,0.00124425868189571,0.00890066740159463,-1.14485295838719,1
"9463",-0.249493116139824,4.27099001982809,-4.152989614984,0.00124873570407493,0.00892890985014526,-1.02604219472286,1
"105375740",-0.542391804163015,1.72462755616394,-4.14845529740754,0.00125907726865516,0.00899904422076051,-0.705731677627492,1
"7450",-0.983716244312809,0.530423442336386,-4.14665007532993,0.00126321907141958,0.00902300945275505,-0.871125915890432,1
"23186",0.195472831853584,5.60516188068283,4.14652817888483,0.0012634992504628,0.00902300945275505,-1.30826975474412,1
"56980",-0.417381081876259,2.4556015290248,-4.14551600349607,0.00126582821583002,0.00903581900196294,-0.737435934684632,1
"10690",1.51034994038883,-0.754650677166031,4.14420229940898,0.00126885759478578,0.00905253738010551,-1.57888716164935,1
"114625",-0.231472501552532,4.26286908023115,-4.1440355103955,0.00126924274248962,0.00905253738010551,-1.04016332506228,1
"2232",-0.171768978659735,5.44003499395001,-4.14353557175605,0.00127039791959338,0.00905695003318218,-1.29159592932623,1
"2995",0.157929654971882,6.48847568243815,4.14273273363458,0.00127225525927359,0.0090627213142527,-1.4729352066991,1
"6041",-0.370025822206798,2.76103220952161,-4.14272157286902,0.00127228109908654,0.0090627213142527,-0.775028603720902,1
"6654",0.165858797774216,6.30187592943367,4.14159115195914,0.0012749010995163,0.0090775539274712,-1.44487917657332,1
"26092",-0.194482052050911,5.5095753702936,-4.13820985818702,0.00128277129349788,0.00912608417464603,-1.31606340466844,1
"100885778",0.742363563902035,0.96765671590325,4.13819837222732,0.00128279811316402,0.00912608417464603,-0.837885785295154,1
"4851",0.224740826850277,4.67170881554773,4.1375157343999,0.0012843931094697,0.00913079449321398,-1.12587449027236,1
"79912",-0.155216043564607,6.03903425446827,-4.13745208427551,0.00128454193350214,0.00913079449321398,-1.41591460766605,1
"80270",-0.257487263789442,5.45029867743654,-4.13675369241124,0.00128617605354569,0.00913478447015703,-1.30804674901764,1
"80209",0.198157801985683,5.66676663793175,4.13674968125201,0.00128618544518204,0.00913478447015703,-1.33839468391314,1
"4524",-0.188602255918859,5.43242662206041,-4.13535144555861,0.00128946355930049,0.00915421522628718,-1.30559546251657,1
"144455",0.201781726638508,6.1552678795909,4.13309269757097,0.00129477734435935,0.00918807529528143,-1.43477383865683,1
"817",-0.142560182762748,6.47218992900606,-4.13235607748242,0.00129651515267894,0.00919321952103048,-1.49660170809721,1
"10847",0.181430009410782,6.86758762239876,4.13232378961275,0.00129659138014297,0.00919321952103048,-1.5468817700378,1
"56108",-0.571554662127442,1.43479840182584,-4.13132080161603,0.00129896160964059,0.00920615864565592,-0.746985114743783,1
"79589",-0.204404312231497,4.73672415029786,-4.13035783878711,0.00130124146108557,0.00921534896168752,-1.16730840584568,1
"8153",0.524676909996578,2.42671933965739,4.13003279836749,0.00130201193871646,0.00921534896168752,-0.749702222513217,1
"54938",-0.336303043324145,3.01760036400895,-4.12989945984214,0.00130232814128592,0.00921534896168752,-0.83276131495129,1
"147007",0.188185129008881,5.58349905895207,4.12985153572875,0.00130244180918057,0.00921534896168752,-1.33498802829604,1
"2040",-0.1511128853637,6.48797095343743,-4.12721880695852,0.00130870195501219,0.00925576305174518,-1.50870732686008,1
"653145",-1.18499491224792,-1.12251647378203,-4.12606516109946,0.00131145489053382,0.00927134902093466,-1.53008760259566,1
"647087",-0.153262946859337,6.43212733795518,-4.12528757381717,0.00131331381174804,0.00928060434069919,-1.50363062888187,1
"8601",0.223787724871349,5.39256728560242,4.12358142991731,0.00131740210063327,0.00930429562610044,-1.30656989010471,1
