"ID","statistic","p.value"
"AK5",4.61983565641938,4.8943221663739e-06
"AK8",6.37901259301323,4.07048580674703e-10
"AKAP1",9.01837993485679,4.10359697152821e-18
"AKAP10",4.12413992497671,4.35880398951923e-05
"AKAP11",-3.66276204689728,0.000276177806441646
"AKAP12",14.405923842025,1.36313169961385e-39
"AKAP13",79.2722503198099,6.36951422334191e-285
"AKAP14",7.25436662855704,1.55163556445062e-12
"AKAP2",44.8643735759741,3.01887956996582e-177
"AKAP3",4.60419869728998,5.26055018658437e-06
"AKAP4",8.48927522589353,2.3924884724209e-16
"AKAP5",20.8061605879198,1.08903395931983e-69
"AKAP6",21.5388657462268,3.02231002368638e-73
"AKAP8",121.364266478063,0
"AKAP8L",7.9838066963374,9.84338026218799e-15
"AKAP9",13.1865884487839,2.81010580504451e-34
"AKIRIN1",40.2623914332915,7.29279666187396e-159
"AKNA",18.4866573581922,1.65103051145314e-58
"AKNAD1",6.69558449495324,5.79839194112993e-11
"AKR1A1",44.3853256013957,2.19303771574401e-175
"AKR1B1",85.9889319300087,2.39691576111677e-301
"AKR1B10",16.7241404781698,3.57389657576497e-50
"AKR1C1",385.073088166374,0
"AKR1C2",1325.2127273235,0
"AKR1C3",203.300981039101,0
"AKR1C4",23.5678017169915,4.19842747665815e-83
"AKR1D1",8.17704114928669,2.42444428388797e-15
"AKR1E2",4.29918813977594,2.0623669274792e-05
"AKR7A2",44.9420818173893,1.51029672860656e-177
"AKR7A3",14.6927248192153,7.1812757139767e-41
"AKT1",81.3070112624351,5.07713568770039e-290
"AKT1S1",21.1279973114666,2.98907334746458e-71
"AKT3",7.37106718397706,7.07972683743139e-13
"AKTIP",13.5871535078638,5.31994237309424e-36
"ALAD",12.9706889671604,2.32929035623962e-33
"ALAS1",10.9746380543549,2.99617739877174e-25
"ALAS2",8.41485471039125,4.17886660414581e-16
"ALB",38.8977347742682,3.41481695067367e-153
"ALCAM",5.56230464106758,4.34715724930813e-08
"ALDH16A1",27.3205370508315,3.62047214418641e-101
"ALDH18A1",133.463003108027,0
"ALDH1A1",26.1027664148789,2.400736599337e-95
"ALDH1A2",16.809475945115,1.42651998800711e-50
